Roy Robson;;;;;;;;;
TZ;L;;R;;;;;;
Mod.;Boxbreite;Boxhöhe;Boxbreite;Boxhöhe;Einführung;;;;
10074;59.42;42.38;59.47;42.41;;;;;
10075;52.08;41.27;52.22;40.89;;;;;
10077;54.28;40.69;54.32;40.72;;;;;
10079;53.48;42.98;53.53;43.00;;;;;
10080;54.45;41.03;54.49;41.15;;;;;
10081;53.45;38.82;53.34;38.71;;;;;
10083;54.12;38.99;54.27;39.01;;;;;
10085;48.70;43.03;48.79;43.08;08.2023;;;;
10087;57.58;42.28;57.69;42.35;;;;;
10088;52.94;39.93;52.96;39.97;;;;;
10089;51.63;41.74;51.54;41.59;;;;;
10091;56.61;39.85;56.97;39.61;;;;;
10092;55.44;40.59;55.48;40.53;;;;;
10093;59.58;42.04;59.73;41.92;08.2024;;;;
10095;54.73;44.06;54.47;43.80;;;;;
10096;51,95;43,49;51,95;43,48;08.2024;;;;
10099;50.51;46.16;50.57;46.01;;;;;
10101;56.47;37.32;56.46;36.95;01.2025;;;;
10102;52.58;36.96;52.31;37.19;01.2025;;;;
10103;53.47;47.52;53.38;47.48;08.2025;;;;
10104;54.51;40.54;54.48;40.42;08.2025;;;;
10105;52.72;43.81;52.79;44.02;08.2025;;;;
10107;53.91;41.70;53.87;41.54;01.2026;;;;
10109;49.88;45.71;49.86;45.68;01.2026;;;;
40078;54.36;40.02;54.41;39.95;;;;;
40079;55.93;39.87;55.83;39.90;;;;;
40083;51.40;43.75;51.49;43.89;;;;;
40084;53.21;41.98;53.35;42.24;;;;;
40085;51.96;46.02;51.81;46.06;;;;;
40087;54.61;35.00;54.58;34.94;;;;;
40089;53.21;44.78;53.24;44.92;;;;;
40090;53.54;45.34;53.62;45.52;;;;;
40092;50.47;44.23;50.42;44.07;;;;;
40093;55.34;40.93;55.11;40.98;;;;;
40095;;;mit Formscheibe testen;;;;;;
40096;56.68;38.84;56.75;38.95;;;;;
40097;49.47;42.35;49.50;42.48;;;;;
40099;52.35;33.58;52.44;33.54;;;;;
40100;52.24;42.34;51.93;42.62;;;;;
40101;60.28;42.60;60.31;42.58;08.2023;;;;
40102;52.0;44.2;52.04;44.33;;;;;
40106;52.45;45.64;52.35;45.31;;;;;
40108;55.08;41.25;54.61;41.62;;Unterschied L/R col1;;;
40109;54.31;41.89;54.02;41.68;;;;;
40110;51,83;45,32;51,62;45,03;;;;;
40112;55.06;40.15;54.88;40.15;;;;;
40113;54.63;44.55;54.70;44.72;;;;;
40115;52.62;45.26;52.66;45.09;08.2024;;;;
40116;54.26;40.01;54.06;40.04;08.2024;;;;
40117;54.07;41.50;54.15;41.56;08.2024;;;;
40118;54.30;43.06;54.01;43.15;01.2025;;;;
40119;54.74;42.76;54.68;42.72;01.2025;;;;
40120;57.68;41.43;57.54;41.44;01.2025;;;;
40121;52.22;46.08;52.13;46.05;;;;;
40122;53.48;42.84;53.28;42.76;;;;;
40123;50.05;44.42;49.88;44.30;01.2025;;;;
40126;54.20;42.88;54.03;42.75;08.2025;;;;
40127;53.30;40.64;53.18;40.52;08.2025;;;;
40128;57.7;42.17;57.25;42.39;08.2025;;;;
40129;54.84;41.58;54.79;41.46;08.2025;;;;
40130;54.01;43.52;54.97;43.47;08.2025;;;;
40132;55,88;44,79;55,66;44,76;01.2026;;;;
40134;55,27;46,67;55,57;46,86;01.2026;;;;
40135;56.53;41.89;56.14;41.74;01.2026;;;;
40136;53,4;41,81;53,29;41,59;01.2026;;;;
40137;52,38;46,22;52,24;46,23;01.2026;;;;
40138;49,84;44,56;49,69;44,46;01.2026;;;;
60102;54.28;40.18;54.24;39.76;;;;;
60104;51.21;45.08;51.19;45.05;;;;;
60105;55.27;38.38;55.38;38.06;;;;;
60106;53.68;39.98;53.45;39.78;;;;;
60107;51.20;45.00;51.19;44.95;;;;;
60108;57.23;40.30;57.09;40.14;;;;;
60109;53.34;38.85;53.21;38.76;;;;;
60110;52.70;42.00;52.66;41.90;;;;;
60111;52.53;42.74;52.50;42.66;;;;;
60112;55.53;40.54;55.60;40.48;;;;;
60113;56.19;39.72;56.12;39.50;08.2022;;;;
60115;49.79;44.08;49.82;44.02;;;;;
60116;55.78;38.32;55.72;38.10;;;;;
60117;54.67;39.68;54.70;39.74;;;;;
60118;54.0;34.8;54.23;34.68;;;;;
60119;51.12;45.37;51.04;45.23;;;;;
60120;55.21;40.48;55.03;40.66;;;;;
60121;51.72;43.72;51.61;43.57;;;;;
60122;52.43;41.68;52.54;41.57;08.2023;;;;
60123;52.97;40.21;52.81;40.19;;;;;
60124;55.84;40.44;55.74;40.37;;;;;
60125;53.79;43.58;53.64;43.48;;;;;
60126;55.21;37.05;54.96;37.06;;;;;
60127;55.85;38.85;55.66;38.98;;;;;
60128;52.23;44.28;52.00;44.25;;;;;
60129;54.25;42.12;54.10;42.23;;;;;
60130;50.85;43.03;50.81;43.07;08.2024;;;;
60131;56.99;42.52;56.75;42.42;;;;;
60132;54.00;42.48;53.82;42.50;;;;;
60133;51.98;42.08;51.77;42.32;01.2025;;;;
60134;54.21;41.55;54.20;41.43;01.2025;;;;
60135;55.34;43.53;55.23;43.48;08.2025;;;;
60136;55.14;41.74;55.13;51.37 ;08.2025;;;;
60137;56.05;41.15;56.00;41.01;08.2025;;;;
60138;54.10;41.07;54.01;40.99;01.2026;;;;
60139;55.16;40.54;55.01;40.38;01.2026;;;;
60140;49.94;42.92;49.88;42.87;01.2026;;;;
